DATE,ISRCPIALLQINMEI
2001-01-01,75.4368279569892
2001-04-01,76.4784946236559
2001-07-01,77.3185483870968
2001-10-01,77.2177419354839
2002-01-01,78.3938172043011
2002-04-01,80.9139784946236
2002-07-01,82.3588709677419
2002-10-01,82.4260752688172
2003-01-01,82.5268817204301
2003-04-01,82.1236559139785
2003-07-01,81.0819892473118
2003-10-01,80.7123655913979
2004-01-01,80.4435483870968
2004-04-01,81.5524193548387
2004-07-01,81.5860215053764
2004-10-01,81.5188172043011
2005-01-01,81.0819892473118
2005-04-01,81.7876344086021
2005-07-01,82.9301075268817
2005-10-01,83.5685483870968
2006-01-01,83.6021505376344
2006-04-01,84.6102150537634
2006-07-01,84.5094086021505
2006-10-01,83.4341397849462
2007-01-01,83.1317204301075
2007-04-01,83.7365591397849
2007-07-01,85.2150537634408
2007-10-01,85.6182795698925
2008-01-01,86.0215053763441
2008-04-01,87.8360215053764
2008-07-01,89.6505376344086
2008-10-01,89.5833333333333
2009-01-01,88.9784946236559
2009-04-01,90.6586021505376
2009-07-01,92.4731182795699
2009-10-01,92.7755376344086
2010-01-01,92.1370967741936
2010-04-01,93.2123655913978
2010-07-01,94.3212365591398
2010-10-01,95.127688172043
2011-01-01,95.8333333333333
2011-04-01,97.0430107526882
2011-07-01,97.4462365591398
2011-10-01,97.5134408602151
2012-01-01,97.5806451612903
2012-04-01,98.5887096774194
2012-07-01,99.1599462365592
2012-10-01,99.0591397849462
2013-01-01,98.9583333333333
2013-04-01,99.8319892473118
2013-07-01,100.840053763441
2013-10-01,100.974462365591
2014-01-01,100.268817204301
2014-04-01,100.672043010753
2014-07-01,100.840053763441
2014-10-01,100.772849462366
2015-01-01,99.4287634408602
2015-04-01,100.235215053763
2015-07-01,100.436827956989
2015-10-01,99.8991935483871
2016-01-01,98.9247311827957
2016-04-01,99.3951612903226
2016-07-01,99.8655913978495
2016-10-01,99.630376344086
2017-01-01,99.3951612903226
2017-04-01,99.8319892473118
2017-07-01,99.630376344086
2017-10-01,99.9327956989247
2018-01-01,99.5631720430108
2018-04-01,100.57123655914
2018-07-01,100.907258064516
2018-10-01,101.008064516129
2019-01-01,100.840053763441
2019-04-01,101.780913978495
2019-07-01,101.377688172043
2019-10-01,101.444892473118
2020-01-01,100.974462365591
2020-04-01,100.672043010753
2020-07-01,100.672043010753
2020-10-01,100.739247311828
2021-01-01,100.907258064516
2021-04-01,102.016129032258
2021-07-01,102.889784946237
2021-10-01,103.25940860215
2022-01-01,104.301075268817
2022-04-01,106.283602150538
2022-07-01,107.829301075269
2022-10-01,108.635752688172
