DATE,CCUSMA02ILM618N
2001-01-01,4.11591304347826
2001-02-01,4.12225
2001-03-01,4.15872727272727
2001-04-01,4.17514285714286
2001-05-01,4.13952173913043
2001-06-01,4.16161904761905
2001-07-01,4.198
2001-08-01,4.23334782608696
2001-09-01,4.33375
2001-10-01,4.31691304347826
2001-11-01,4.23886363636364
2001-12-01,4.27847619047619
2002-01-01,4.53182608695652
2002-02-01,4.66
2002-03-01,4.66490476190476
2002-04-01,4.79822727272727
2002-05-01,4.89308695652174
2002-06-01,4.94265
2002-07-01,4.71834782608696
2002-08-01,4.67618181818182
2002-09-01,4.77142857142857
2002-10-01,4.79826086956522
2002-11-01,4.68666666666667
2002-12-01,4.696
2003-01-01,4.83247826086957
2003-02-01,4.8659
2003-03-01,4.78419047619048
2003-04-01,4.60690909090909
2003-05-01,4.47895454545455
2003-06-01,4.38066666666667
2003-07-01,4.37026086956522
2003-08-01,4.45128571428571
2003-09-01,4.46436363636364
2003-10-01,4.44478260869565
2003-11-01,4.49365
2003-12-01,4.39047826086956
2004-01-01,4.4215
2004-02-01,4.46375
2004-03-01,4.50317391304348
2004-04-01,4.54609090909091
2004-05-01,4.59138095238095
2004-06-01,4.51663636363636
2004-07-01,4.49363636363636
2004-08-01,4.53409090909091
2004-09-01,4.49186363636364
2004-10-01,4.45985714285714
2004-11-01,4.40522727272727
2004-12-01,4.34182608695652
2005-01-01,4.37866666666667
2005-02-01,4.37025
2005-03-01,4.32973913043478
2005-04-01,4.37128571428571
2005-05-01,4.37431818181818
2005-06-01,4.4825
2005-07-01,4.56047619047619
2005-08-01,4.50926086956522
2005-09-01,4.53836363636364
2005-10-01,4.62180952380952
2005-11-01,4.69977272727273
2005-12-01,4.61036363636364
2006-01-01,4.61809090909091
2006-02-01,4.70315
2006-03-01,4.69134782608696
2006-04-01,4.58415
2006-05-01,4.4764347826087
2006-06-01,4.47468181818182
2006-07-01,4.43280952380952
2006-08-01,4.3805652173913
2006-09-01,4.35133333333333
2006-10-01,4.27422727272727
2006-11-01,4.30045454545455
2006-12-01,4.20085714285714
2007-01-01,4.22813043478261
2007-02-01,4.218
2007-03-01,4.2005
2007-04-01,4.08295238095238
2007-05-01,4.00186956521739
2007-06-01,4.18266666666667
2007-07-01,4.25372727272727
2007-08-01,4.2244347826087
2007-09-01,4.0852
2007-10-01,4.01369565217391
2007-11-01,3.91336363636364
2007-12-01,3.90285714285714
2008-01-01,3.75504347826087
2008-02-01,3.60842857142857
2008-03-01,3.50552380952381
2008-04-01,3.51818181818182
2008-05-01,3.37963636363636
2008-06-01,3.36114285714286
2008-07-01,3.37234782608696
2008-08-01,3.55566666666667
2008-09-01,3.52777272727273
2008-10-01,3.66891304347826
2008-11-01,3.88965
2008-12-01,3.87505
2009-01-01,3.9265
2009-02-01,4.09905
2009-03-01,4.16277272727273
2009-04-01,4.17877272727273
2009-05-01,4.06185714285714
2009-06-01,3.94070454545455
2009-07-01,3.88317391304348
2009-08-01,3.82657142857143
2009-09-01,3.76077272727273
2009-10-01,3.72062272727273
2009-11-01,3.77585714285714
2009-12-01,3.78434782608696
2010-01-01,3.71085714285714
2010-02-01,3.74515
2010-03-01,3.73986956521739
2010-04-01,3.71104545454545
2010-05-01,3.79266666666667
2010-06-01,3.85077272727273
2010-07-01,3.85213636363636
2010-08-01,3.78881818181818
2010-09-01,3.72886363636364
2010-10-01,3.60566666666667
2010-11-01,3.64345454545455
2010-12-01,3.59717391304348
2011-01-01,3.57952380952381
2011-02-01,3.65445
2011-03-01,3.55778260869565
2011-04-01,3.42557142857143
2011-05-01,3.46527272727273
2011-06-01,3.40904545454545
2011-07-01,3.41471428571429
2011-08-01,3.54304347826087
2011-09-01,3.68486363636364
2011-10-01,3.66285714285714
2011-11-01,3.72077272727273
2011-12-01,3.77186363636364
2012-01-01,3.80404545454545
2012-02-01,3.73585714285714
2012-03-01,3.75727272727273
2012-04-01,3.74638095238095
2012-05-01,3.82408695652174
2012-06-01,3.88604761904762
2012-07-01,3.98727272727273
2012-08-01,4.00926086956522
2012-09-01,3.93555
2012-10-01,3.85278260869565
2012-11-01,3.8905
2012-12-01,3.77152380952381
2013-01-01,3.73117391304348
2013-02-01,3.69055
2013-03-01,3.6777619047619
2013-04-01,3.61618181818182
2013-05-01,3.63314285714286
2013-06-01,3.62995
2013-07-01,3.60634782608696
2013-08-01,3.57859090909091
2013-09-01,3.56738095238095
2013-10-01,3.5374347826087
2013-11-01,3.53657142857143
2013-12-01,3.50427272727273
2014-01-01,3.49239130434783
2014-02-01,3.51855
2014-03-01,3.47947619047619
2014-04-01,3.47427272727273
2014-05-01,3.46613636363636
2014-06-01,3.4547619047619
2014-07-01,3.42152173913043
2014-08-01,3.49614285714286
2014-09-01,3.63136363636364
2014-10-01,3.72917391304348
2014-11-01,3.829
2014-12-01,3.9324347826087
2015-01-01,3.94377272727273
2015-02-01,3.89285
2015-03-01,3.99754545454545
2015-04-01,3.94
2015-05-01,3.8627619047619
2015-06-01,3.82445454545455
2015-07-01,3.789
2015-08-01,3.84485714285714
2015-09-01,3.91122727272727
2015-10-01,3.86572727272727
2015-11-01,3.88933333333333
2015-12-01,3.88182608695652
2016-01-01,3.94857142857143
2016-02-01,3.90804761904762
2016-03-01,3.86539130434783
2016-04-01,3.77757142857143
2016-05-01,3.81409090909091
2016-06-01,3.85663636363636
2016-07-01,3.85742857142857
2016-08-01,3.79539130434783
2016-09-01,3.76572727272727
2016-10-01,3.81366666666667
2016-11-01,3.84286363636364
2016-12-01,3.82827272727273
2017-01-01,3.81940909090909
2017-02-01,3.72905
2017-03-01,3.6505652173913
2017-04-01,3.64935
2017-05-01,3.59669565217391
2017-06-01,3.53186363636364
2017-07-01,3.55090476190476
2017-08-01,3.59926086956522
2017-09-01,3.5337619047619
2017-10-01,3.51254545454545
2017-11-01,3.51722727272727
2017-12-01,3.50257142857143
2018-01-01,3.42513043478261
2018-02-01,3.4944
2018-03-01,3.47236363636364
2018-04-01,3.53638095238095
2018-05-01,3.59004347826087
2018-06-01,3.60452380952381
2018-07-01,3.64531818181818
2018-08-01,3.6664347826087
2018-09-01,3.58945
2018-10-01,3.65678260869565
2018-11-01,3.70545454545455
2018-12-01,3.75390476190476
2019-01-01,3.68969565217391
2019-02-01,3.6263
2019-03-01,3.61761904761905
2019-04-01,3.59495454545455
2019-05-01,3.59334782608696
2019-06-01,3.5973
2019-07-01,3.54465217391304
2019-08-01,3.51122727272727
2019-09-01,3.52271428571429
2019-10-01,3.51552173913043
2019-11-01,3.48261904761905
2019-12-01,3.475
2020-01-01,3.46
2020-02-01,3.43365
2020-03-01,3.60104545454545
2020-04-01,3.57177272727273
2020-05-01,3.5172380952381
2020-06-01,3.45831818181818
2020-07-01,3.43213043478261
2020-08-01,3.40090476190476
2020-09-01,3.41995454545455
2020-10-01,3.39504545454545
2020-11-01,3.35938095238095
2020-12-01,3.24621739130435
2021-01-01,3.2217619047619
2021-02-01,3.27025
2021-03-01,3.31086956521739
2021-04-01,3.27859090909091
2021-05-01,3.26280952380952
2021-06-01,3.25172727272727
2021-07-01,3.27063636363636
2021-08-01,3.22368181818182
2021-09-01,3.20745454545455
2021-10-01,3.21552380952381
2021-11-01,3.1205
2021-12-01,3.132
2022-01-01,3.13433333333333
2022-02-01,3.21385
2022-03-01,3.245
2022-04-01,3.23690476190476
2022-05-01,3.38081818181818
2022-06-01,3.41068181818182
2022-07-01,3.46552380952381
2022-08-01,3.29882608695652
2022-09-01,3.44645454545455
2022-10-01,3.55014285714286
2022-11-01,3.48186363636364
2022-12-01,3.45345454545455
2023-01-01,3.44863636363636
2023-02-01,3.54315
2023-03-01,3.61726086956522
